,country,year,population,gdp,co2,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,continent,latitude,longitude,co2_cum,co2_cum_total
11433,100.0,0.03418803418803407,0.0001724182619096301,0.0002221550975422049,2.497215355157464e-06,0.0,0.0,0.0,0.0,2.0,0.8694509215748704,0.10698301257251266,3.2808083441423285e-07,0.005840920199875987
21788,190.0,0.3675213675213662,0.0017182639112978016,0.00017849126276695546,0.00047137437043952296,0.0,0.0,0.0,0.0,0.0,-0.3221091755246312,0.5191803244985596,0.0001749589473764221,0.1005562515222768
15419,134.0,0.7692307692307665,0.01567580503025452,0.0058902890465327325,0.0021377162326289955,0.001,0.002,0.003,0.0,5.0,-0.11990359077724708,-1.3097971986377253,0.002157438569934593,0.4985788686821973
3576,31.0,0.29059829059828957,0.00013721942938087694,5.513275975497949e-06,1.0288527263248752e-05,0.0,0.0,0.0,0.0,0.0,0.27925364374083983,-0.41902553563335626,9.461851264506476e-06,0.07320696867083536
21584,188.0,0.44444444444444287,0.0034418154473773704,0.00041318502651773863,5.893428238171615e-06,0.0,-0.0,0.0,0.0,1.0,0.28531114226777327,0.8358648317030916,8.002547713031968e-06,0.13263734210386904
19932,173.0,0.7521367521367495,0.0008811875980016528,0.0009972752337781626,0.0015815364287283251,0.0,0.0,0.0,0.0,3.0,0.18756513291779567,-1.0661170511879101,0.001406422170260284,0.46926661426647004
8198,71.0,1.0,0.0013315950924536867,0.00014807789126664142,3.0366138718714762e-05,0.0,0.0,0.0,0.0,0.0,0.2062144035810218,-0.2659027336650752,2.5075874335948646e-05,1.0000000000000002
7624,67.0,0.12820512820512775,0.003941778558447797,0.0005675474023833951,2.1975495125385683e-06,0.0,0.0,0.0,0.0,2.0,0.6805975698628239,0.38375799032421853,2.2335743206920972e-05,0.02776544192591048
10556,92.0,0.6068376068376047,0.0019420466581131092,0.00014173629837800565,4.2053106580851694e-05,0.0,0.0,0.001,0.0,1.0,0.3493644919418454,1.8042908898097054,1.2031380359638746e-05,0.2596175767452415
20914,182.0,0.23931623931623847,0.08277027379771387,0.07881620478846948,0.18289255651023545,0.012,0.06,0.074,0.002,3.0,0.6943570842057607,-1.7531113609697069,0.10325147161839368,0.058589965351230705
