,temp_anomaly
11433,-0.02
21788,0.11
15419,-0.35
3576,-0.69
21584,-0.57
19932,0.28
8198,0.98
7624,0.16
10556,-0.61
20914,0.05
3033,-0.42
5856,0.85
13948,0.04
12290,-0.67
7027,-1.76
5067,1.44
20272,-1.37
9861,0.54
20124,-0.15
2200,-0.26
16097,-0.63
18484,-0.46
12928,-0.75
16590,0.28
17565,0.46
7056,-0.15
11964,0.03
12758,0.19
7908,-0.04
19328,-0.3
19061,-0.32
6994,0.1
17004,0.13
16663,-0.02
13924,0.1
3398,0.22
9140,1.23
5794,-0.8
4298,-0.15
9660,0.59
1022,-0.83
13557,0.24
9618,-0.15
18254,0.14
5938,0.58
20216,-1.61
8264,0.52
5274,1.02
9748,-0.49
13708,0.16
10246,1.23
14861,0.54
17943,0.17
12720,0.46
20873,0.9
12425,0.36
13829,0.33
6719,0.41
20457,0.95
12907,0.38
1373,0.1
20756,0.68
7705,-0.34
9437,-0.82
16998,0.14
14516,-0.7
6577,0.29
9453,-0.34
20249,-0.69
16936,0.34
12347,0.46
2923,0.82
17841,0.04
15975,-1.18
19900,-0.17
1120,-1.8
15874,-0.61
12390,0.09
14234,0.64
8705,-0.3
8616,1.31
16828,0.28
18397,0.25
21758,1.03
4500,-0.64
13689,0.07
15651,-0.32
21141,-1.55
16092,-0.41
11101,-0.37
8621,1.47
2432,-0.55
10044,1.0
899,-0.18
12213,0.14
14827,0.39
21028,-1.11
9718,-0.1
6802,-1.04
5480,0.26
13836,0.54
20841,0.11
7217,0.24
3558,-0.48
17704,-0.29
11595,0.31
7591,0.44
16201,0.65
16470,-0.32
19146,0.59
10170,-0.16
15701,-0.29
5319,-0.47
8143,-0.11
17266,-0.49
20922,0.12
17260,-0.28
2348,0.08
8539,1.11
12679,0.73
1659,0.09
18073,-0.29
19164,-1.09
1111,-0.2
7347,0.08
17369,0.01
20336,0.27
4969,0.06
7202,-0.24
18907,1.16
4400,0.04
4478,0.81
3215,-0.05
5063,0.81
4735,-0.34
1654,0.0
17741,-0.38
1652,-0.2
20322,-0.58
5682,-0.72
1840,-0.22
16422,-0.16
356,0.16
13950,0.3
14743,0.3
14311,1.04
15215,-0.43
8371,0.34
19636,-0.7
3612,0.37
19687,-0.17
3689,0.48
2063,0.32
17286,-0.3
1736,0.72
15556,0.23
10685,0.27
15761,-0.11
889,-0.49
18850,0.53
6415,1.65
6136,-0.28
12660,0.34
2814,-0.03
16291,-0.18
20357,0.08
2649,-0.22
21853,0.75
13963,0.96
11212,-0.97
6757,0.14
14984,-0.15
11220,-0.13
10282,0.2
7487,0.45
10845,-1.19
21209,0.65
16730,0.64
11256,-1.02
17597,0.51
8068,0.77
17642,0.33
11655,0.1
4609,0.92
9566,-0.27
1249,-0.27
17972,-0.32
13776,-0.05
14300,-0.19
20762,0.63
18556,0.33
16575,0.03
20625,-1.91
4557,-0.07
11845,-0.18
17233,-0.13
10863,-1.33
3788,1.26
16509,-0.49
5619,0.23
4876,-0.24
12800,1.2
18487,-0.11
6392,-0.81
16054,-0.41
3551,-0.26
15199,0.18
2484,0.47
11117,1.14
4013,0.77
10360,-0.19
5185,0.07
11818,-0.19
7453,-0.76
18858,1.39
8916,0.21
1261,0.01
12958,-0.26
420,1.06
19379,0.06
12454,-0.41
6846,1.61
14940,0.01
15670,0.69
1773,0.58
21778,-0.02
8961,0.33
6844,1.17
9229,0.12
16956,1.25
15290,0.12
21344,0.39
44,-0.18
9770,0.37
1284,0.05
21039,-0.46
16999,0.06
1011,0.52
17603,0.58
18132,0.64
14330,-1.31
12549,-0.03
6821,0.88
19396,-0.28
3183,0.43
5285,-0.22
6760,-0.37
9323,-0.5
5718,0.0
13433,0.22
7810,0.22
717,0.31
19797,0.43
5074,1.11
5925,0.28
11439,-0.17
3860,-0.55
19860,-0.12
10048,0.47
19423,0.19
4368,0.39
